,sentiment,sentence
100,1,"Exceptionnel l emplacement près de la gare dans une rue calme. bonne literie. disponibilité et amabilité à l accueil.
propreté de la chambre. plateau bouilloire nan"
101,1,"Très bien le personnel
le thé et le café à volonté J'ai choisi une chambre supérieure mais c'était un peu trop petite. la porte de la salle de bain ne s'est pas fermée correctement. 
Quand nous sommes arrivés pour le petit déjeuner, il en restait très peu, mais nous avons payé le montant total de 15 euros"
102,1,"Très bien petit hôtel bien sympa , le personnel est souriant et de bon conseil.
nous y avons passé une nuit ( de passage ) , avons apprécier le calme juste petite remarque , la largeur du lit un peu juste pour nous, mais bon...."
103,1,Très bon séjour L'hotel avait une super localisation. Proche de gare ou de stations de metro. nan
104,0,Bien  Localisation proche des deux gares Mauvaise insonorisation
105,1,"Très bien, je recommande L'accueil et la possibilité de laisser mes bagages avant d'intégrer la chambre. Chambre un peu petite pour 3 mais confortable et propre. A 2 pas de la gare de l'est, accessible à pied ou par le bus 56 ou 65 (2 arrêts). Nous avons tout apprécié."
106,1,"Bien  Salle de bain spacieux Salle du petit déjeuner, siège bas peux confortable
Trop loin d'une bouche métro"
107,1,"Pratique, rapport qualité-prix correct. Très bien placé, à proximité du canal St Martin, des gares du Nord et de l'Est. Personnel prévenant et agréable. Assez calme. Petite déjeuner assez basique."
108,1,"bref mais agréable et nous ne rentrions que le soir lit très confortable douche très pratique c'est impossible actuellement mais la chambre est un peu petite pour des gens âgés qui doivent louvoyer entre le lit et la table pour sortir de leur couche , laquelle est un peu haute , justement pour des personnes ayant des difficultés à se mouvoir mais non encore handicapées ..."
109,1,"calme et bien situé pour une nuit. la literie.Le personnel était très sympatique.
Le service bagagerie, très apprécié. il faisait froid dans la salle de bain.La chambre est petite.le petit déjeuner reste onéreux,( pas de vrai machine à café à disposition.)"
110,1,Très bien Félicitations au personnel vraiment prêt à aider avec grand sourire non forcé. Ma petite fille et moi avons été ravies. N'hésiterons pas du tout à y retourner. Le petit déjeuner onéreux.
111,1,Fabuleux  Petit déjeuner compris. nan
112,1,Bien  Merci a Toufik pour son accueil chaleureux nan
113,1,Très bien Calme A 7h petit déjeuner pas prêt
114,1,"Bon emplacement, juste à côté de la gare de l'Est Très bon emplacement, juste à côté de la gare de l'Est, personnel aimable, service de bagagerie au besoin. Literie confortable, les équipements de la chambre sont satisfaisants. La chambre que nous avons occupée était un peu petite, la douche pas franchement pratique, la salle de bain de façon générale nous a un peu déçue, pour le reste, rien à redire."
115,1,"Superbe L’état général ( propreté, équipement) La porte de la douche, l’étroitesse de la chambre, le fait que la salle du petit déjeuner ne soit pas séparée de l’accueil"
116,1,Agréable Aspect assez moderne. Pas trop loin de la Gare de l’Est. Les cheveux dans la salle de bains.
117,1,Exceptionnel L’accueil du personnel était parfait et son emplacement proche des stations de metro. De plus son implantation ds un quartier calme est un atout supplémentaire. Je recommande. nan
118,1,"Fabuleux  Proche de la gare 
Propre Épaisseur des murs 
Le voisin de la chambre à côté que l’on entend tousser comme s’il était à côté de vous"
119,1,"Bon rapport qualité prix. Accueil bien. L'emplacement
Rapport prix/qualité Les fenêtres sont équipées de rideaux occultants par contre sont dépourvues de rideaux brisevue c'est un peu dommage quand il fait jour de ne pas profiter de la lumière naturelle!"
120,1,Très bien Trop chaud dans la chambre. Trop chaud dans la chambre.
121,1,Bien  sieges du salon petit dejeuner sieges du salon petit dejeuner
122,1,"Bien  bon rapport qualité/prix/situation géographique la porte de la douche qui se démonte quand on la fait coulisser et la mauvaise insonorisation des chambres.
les fauteuils de la salle du petit déjeuner sont très jolis mais pas très pratiques pour prendre son petit déjeuner"
123,1,Très bien Personnel agreable. Chambre tres agreable. Juste a mon niveau... ma chambre donnait sur un lieu d evenementtiel . Mais l'hiver bonne isolation.
124,1,Tres bon rapport qualite prix Early check out suite a notre demande. Accueil tres sympathique de Toufik. Bon rapport qualite prix nan
125,1,"Bien  Lit confortable, hôtel bien situé. Le parking n est pas inclu dans le prix et coûte 25€.
Sur booking.com ce n est pas précisé."
126,1,"Très bien Propreté, malgré un morceau de papier peint qui se décolle, 
Personnel agréable et accueillant, belles chambres bien insonorisées D’être bloquée dans l’ascenseur 😂"
127,1,"Très bien J'ai apprécié l'accueil de Kamel et de Toufik le jour de départ, le rapport qualité-prix pour la période et la propreté de la chambre.
Je reviendrai sans hésitation nan"
128,1,"Très bon hôtel. Manque un petit truc pour que ce soit parfait. Chambre confort, équipement de grande qualité. Thé et café à disposition. Très proche métro. Emplacement calme et les rues de derrière avec le petit passage parisien sont sympas. Personnel très aimable. Escalier de secours impraticable - j’espère qu’il n’y aura jamais de malheur. Mes voisins de chaque sont rentrés à deux heures du matin en faisant un bruit de fou. Je ne saurais pas dire si c’est l’insonorisation qui est mauvaise ou les voisins super bruyants."
129,1,"Agréable Un grand lit. Un petit déjeuner avec des produits frais et beaucoup de variété. Accueil chaleureux du personnel. Rue calme. Situation bonne. Manque d'insonorisation entre les chambres. J'entendais un voisin toussait... de l'autre côté, j'entendais quand la salle de bain était utilisée... Dommage."
130,1,"Bien  Très bon rapport qualité /prix La qualité le du petit déjeuner, manque vraiment d’une machine à expresso"
131,1,Bien  L'accueil des responsables TB Un lit plus moelleux pour un 3 étoiles.
132,1,"bon séjour Gentillesse à l'accueil .
Situation géographique (bien desservi par les transports, nombreux restos aux alentours )
Propreté .
Grandeur de la chambre nan"
133,1,Exceptionnel Le sens de l'accueil et du service. Je vais oublié mon téléphone et Toofik me l'a ramassé. Merci Toofik pour votre honnêteté. C'est rassurant pour les clients. Rien
134,1,"Une adresse calme très bien desservie Accueil très chaleureux et personnalisé par un réceptionniste très sympathique. 
Literie très confortable et de grande taille.
Très bonne insonorisation alors que la chambre donne sur la rue Espace de la chambre trop restreint"
135,1,Agréable chambre trop petite; décoration moyenne chambre trop petite; décoration moyenne
136,1,"tres bon hotel confortable et bien situé. grand lit tres confortable, chambre tres calme, personnel souriant nan"
137,1,Exceptionnel Personnel disponible et accueillant ! nan
138,1,Très bien Merci à Kamel de la réception pour son super accueil. nan
139,1,"du bon et du moins bon l'accueil souriant, la situation géo de l'hôtel (proche Gare de l'Est), le petit déjeuner, la taille du lit double, la fonctionnalité de la salle de bains, le calme du quartier qualité moyenne du matelas, très mauvaise insonorisation (on entend la conversation ou la TV de la chambre voisine), la faible pression de la douche"
140,0,"très bien, à recommander pas de kleenex pas de kleenex"
141,1,"Agréable Petit déjeuner, confort literie, personnel de réception Chambre très exiguë, environ 9 m2, propreté salle de bain( rails porte douche) et radiateur chambre"
142,1,"Bien  Nous avons choisi cet hôtel pour sa proximité avec la gare de l'est mais le quartier n'est pas le plus chouette de Paris. La chambre et les sanitaires étaient propres. Chambre calme sur l'arrière du bâtiment. Les lieux sont assez exigus : on cogne la porte lorsqu'on rentre et la salle de bains est tellement étroite qu'on renverse toujours quelque chose au passage. Insonorisation moyenne : on entend le voisin éternuer et moucher.
Petit déjeuner assez décevant et plus de baguette à 8h30 pour un hôtel parisien, c'est très moyen !"
143,1,Petit hotel bien équipé à 2 pas des gares et du metro Hotel bien équipé avec chambres petites mais fonctionnelles. Proximité gare du Nord et de l'Est Les chambres sont un peu petites
144,1,"Parfait Grand lavabo sdb , literie confortable, amabilité personnel Vraie clim dans chambre (non mobile)"
145,1,"Bien  l'emplacement proche des métro
La propreté de l'hôtel
l'accueil agréable
le petit déjeuné la chambre et la salle de bain trop petite pour le prix (déjà vu mieux et pour moins chère sur paris centre).
vue extérieur proche de l'autre immeuble (petite rue)
Pas assez de table le matin pour le petit déjeuner"
146,1,"Bon emplacement mais décevant au regard du prix Bon emplacement, petit déjeuner très correct. Réceptionnistes de nuit très gentils. Personnel du week-end peu aimable, nettoyage des chambres tard dans l'après midi (à 17 h). Chambre minuscule sur rue très bruyante."
147,1,"Bonne adresse Localisation vraiment parfaite. Attention à bien prendre une chambre au calme car quartier très animé.
Chambre petite, SDB encore plus petite, mais OK Taille de la SDB. Petit déjeuner trop industriel"
148,1,"Hôtel tranquille proche de la Gare de l'Est Meubles bien agencés
Tranquillité, ma chambre donnait sur une court intérieure
Rue avec peu de traffic nan"
149,1,Exceptionnel la proximité du centre de Paris et le parking à coté pas de climatisation il faisait trop chaud et impossible de dormir la fenêtre ouverte
150,1,Superbe Propreté de la chambre nan
151,1,"Hôtel de bon rapport qualité prix Accueil souriant et chaleureux
Les chambres sont bien L’insonorisation des chambres n’est pas suffisante. Porte palière bruyante"
152,1,gentillesse du personnel Le personnel trée gentile. petite pièce sans vue sur la rue.
153,1,"Séjour agréable entre Gare de l'Est et République. L'emplacement assez bon.
Le calme de la chambre (au 3ème)
La propreté des lieux.
Le petit déjeuner très correct.
La climatisation (même si amovible et bruyante)
La robinetterie neuve et agréable (surtout le pommeau de douche) La climatisation amovible qui est en soi une bonne idée vue la chaleur de l'été mais par contre question encombrement et bruit c'est un souci. Trouver une version plus compacte et discrète voire intégrée au mur ou plafond serait idéale.
Le bac de douche à 30cm de haut, limite pour la descente et la porte coulissante non tenue en bas donc ""branlante"".
L'absence de porte savon-gel douche rendant assez inconfortable la douche pour le coup.
La taille du WC ""compact"" qui peut être gênant pour les gens assez grands (ce qui est mon cas).
Le 2nd miroir intégré dans la faïence avec un joint mastic très très laid, cela fait tâche dans le cadre général et notamment à côté de la robinetterie flambant neuve.
Côté petit déjeuner, une machine à expresso voire une machine multi boissons (chocolat, thé, café, cappuccino) serait un plus ainsi que des jus d'oranges type ""frais"".
Subsidiaire mais la blague de la personne de l'accueil qui nous a fait croire à notre arrivée à 1h du matin que l’ascenseur était en panne. Trois étages chargés de bagages par le petit escalier pour ""rien"" au final...Un peu dommage même si on apprécie l'humour, à 1h du matin le 2nd degré peut être difficile à décrypter ^^."
154,1,"Bien  Accueil sympathique, accès pratique depuis la gare de l'Est. La salle pour le petit déjeuner petite et vite saturée. Une climatisation serait la bienvenue dans les chambres."
155,1,"Très bon sejour Hôtel confortable et bien situé Pas de clim, juste un ventilateur, à éviter donc pendant les périodes caniculaires"
156,1,"Très bien L'accueil. Très sympathique et très serviable. La propreté. La taille de la chambre. Pas de clim, juste un ventilateur."
157,0,Très bien La propreté Pas de climatisation
158,1,Bien  Hôtel bien situé et très propre. Chambre un peu petite mais espace suffisant pour 1 nuit
159,1,"Parfait ! Désormais habituée de l'hôtel, au risque de me répéter, l'hôtel au delà d'un emplacement pratique proche de la Gare de l'Est, et du métro vous offre un confort parfait et un service de qualité (accueil, prise en compte de demandes clients). Ce qui n'est pas négligeable lorsque vous voyagez bcp et que vous fréquentez énormément d'hôtels, nan"
